controller,scenario,seed,waterLevelMAE,bandViolationRate,safetyViolationCount,totalIrrigationMm,switchCount,meanDecisionTimeMs,mpcFallbackCount
rule,intermittent_rain,20,10.4786657014028,0.09375,0,0,0,0.000451822916666667,0
mpc,intermittent_rain,20,12.7536000287367,0.166666666666667,0,2.73606111992705,1,0.363579427083333,0
rule,intermittent_rain,21,6.3230850631848,0,0,0,0,0.000491753472222222,0
mpc,intermittent_rain,21,6.34883572250317,0,0,1.22105696383985,1,0.352953559027778,0
rule,intermittent_rain,22,25.1069239065947,0.552083333333333,0,0,0,0.0004453125,0
mpc,intermittent_rain,22,25.1069239227251,0.552083333333333,0,2.24142864360892e-08,1,0.396148871527778,0
rule,intermittent_rain,23,10.7356770131853,0.197916666666667,0,0,0,0.000487413194444444,0
mpc,intermittent_rain,23,11.2196956845886,0.197916666666667,0,0.559084447145253,1,0.360785590277778,0
rule,intermittent_rain,24,7.7740872582456,0,0,0,0,0.000464409722222222,0
mpc,intermittent_rain,24,2.78031339244708,0,0,13.740075507527,1,0.373643663194444,0
rule,intermittent_rain,25,5.32679081650486,0,0,22.6336163421501,2,0.000515190972222222,0
mpc,intermittent_rain,25,1.93278551760277,0,0,20.3227248674888,1,0.354434027777778,0
rule,intermittent_rain,26,4.29972627982627,0,0,0,0,0.000470486111111111,0
mpc,intermittent_rain,26,5.63370835536577,0,0,5.92643622547714,1,0.354649739583333,0
rule,intermittent_rain,27,4.08667703782033,0,0,0,0,0.000453993055555556,0
mpc,intermittent_rain,27,6.80074509559558,0,0,8.5138716797981,1,0.354862413194445,0
rule,intermittent_rain,28,1.96442256995769,0,0,0,0,0.000477430555555556,0
mpc,intermittent_rain,28,2.81568500430198,0,0,4.82098173132397,1,0.348133680555556,0
rule,intermittent_rain,29,7.5901514504459,0,0,18.5125695188393,2,0.000537760416666667,0
mpc,intermittent_rain,29,2.28383912884066,0,0,12.7327549849794,1,0.34803125,0
rule,intermittent_rain,30,6.61620990998362,0,0,0,0,0.000449652777777778,0
mpc,intermittent_rain,30,8.81411742028912,0.0208333333333334,0,5.67097095080113,1,0.349186197916667,0
rule,heavy_rain,1,31.5002709493642,0.71875,0,0,0,0.000473958333333333,0
mpc,heavy_rain,1,31.5002709550315,0.71875,0,1.45057710193723e-08,3,0.418772135416667,12
rule,heavy_rain,2,24.317125634864,0.6875,0,0,0,0.000523871527777778,0
mpc,heavy_rain,2,24.3171256421966,0.6875,0,1.8400558360375e-08,1,0.38835546875,0
rule,heavy_rain,3,9.27869751281196,0.0104166666666666,0,0,0,0.0005078125,0
mpc,heavy_rain,3,9.30236896351295,0.0104166666666666,0,0.115104134162831,1,0.358967881944444,0
rule,heavy_rain,4,8.04864868814995,0,0,11.6283087479243,2,0.000512586805555556,0
mpc,heavy_rain,4,6.42932490685071,0,0,10.5438458073428,1,0.359934895833333,0
rule,heavy_rain,5,23.4505345359534,0.447916666666667,0,0,0,0.000462239583333333,0
mpc,heavy_rain,5,26.9255616821884,0.53125,0,8.47497480910993,3,0.357815972222222,14
rule,heavy_rain,6,7.70271408602931,0.0625,0,0,0,0.0004609375,0
mpc,heavy_rain,6,8.53493924608349,0.135416666666667,0,5.92752065655483,1,0.358373697916667,0
rule,heavy_rain,7,15.8895338929974,0.333333333333333,0,0,0,0.00058203125,0
mpc,heavy_rain,7,15.8895339035099,0.333333333333333,0,2.01292840325693e-08,1,0.371591579861111,0
rule,heavy_rain,8,10.7372567362881,0.166666666666667,0,0,0,0.000483506944444444,0
mpc,heavy_rain,8,13.5966977825107,0.3125,0,4.48574400122725,1,0.367984809027778,0
rule,heavy_rain,9,16.8839285357153,0.375,0,0,0,0.000483072916666667,0
mpc,heavy_rain,9,18.1095915929277,0.40625,0,3.79203589055128,1,0.363592881944444,0
rule,heavy_rain,10,14.2463986541727,0.291666666666667,0,0,0,0.000452256944444444,0
mpc,heavy_rain,10,14.2463986604268,0.291666666666667,0,1.60951464606342e-08,1,0.368118923611111,0
rule,heavy_rain,11,42.8541531126749,0.833333333333333,0,0,0,0.000462673611111111,0
mpc,heavy_rain,11,42.8541531153605,0.833333333333333,0,7.62890212992279e-09,5,0.415869357638889,24
rule,heavy_rain,12,24.3939967805846,0.5625,0,0,0,0.000461371527777778,0
mpc,heavy_rain,12,24.3939967853441,0.5625,0,7.23350716832857e-09,1,0.407845920138889,0
rule,heavy_rain,13,25.1500578163,0.739583333333333,0,0,0,0.000440972222222222,0
mpc,heavy_rain,13,27.7271650011476,0.739583333333333,0,3.1800343354687,1,0.383099392361111,0
rule,heavy_rain,14,32.6226894759301,0.677083333333333,0,0,0,0.000493923611111111,0
mpc,heavy_rain,14,32.6226894802048,0.677083333333333,0,9.64017375658268e-09,3,0.365940972222222,12
rule,heavy_rain,15,39.3881065917375,0.8125,0,0,0,0.000485677083333333,0
mpc,heavy_rain,15,39.3881065962954,0.8125,0,1.04897853341597e-08,3,0.31682421875,42
rule,heavy_rain,16,31.2403910776396,0.6875,0,0,0,0.00046484375,0
mpc,heavy_rain,16,31.2403910811523,0.6875,0,7.8388304069577e-09,1,0.378546875,0
rule,heavy_rain,17,44.0630982623431,0.885416666666667,0,0,0,0.000489583333333334,0
mpc,heavy_rain,17,44.0630982638246,0.885416666666667,0,4.69384937254586e-09,3,0.359554253472222,27
rule,heavy_rain,18,27.7504625428071,0.5,0,0,0,0.000463107638888889,0
mpc,heavy_rain,18,28.9027787533532,0.5,0,3.26528089858722,3,0.335182725694444,29
rule,heavy_rain,19,5.52421238424265,0,0,0,0,0.000470920138888889,0
mpc,heavy_rain,19,5.00431907960399,0,0,5.25248231078637,1,0.359414496527778,0
rule,heavy_rain,20,8.45102185232301,0.0729166666666666,0,20.0313782494131,2,0.000717881944444444,0
mpc,heavy_rain,20,5.15859667127909,0.0729166666666666,0,15.2805887838755,1,0.365051649305556,0
rule,heavy_rain,21,10.2809795372436,0.135416666666667,0,27.6846564201223,2,0.000526909722222222,0
mpc,heavy_rain,21,7.00795977097534,0.135416666666667,0,24.3818356525069,1,0.356305555555555,0
rule,heavy_rain,22,24.4156555184823,0.552083333333333,0,0,0,0.000474392361111111,0
mpc,heavy_rain,22,26.2061370938942,0.552083333333333,0,3.35121168523569,1,0.383764756944444,0
rule,heavy_rain,23,23.5270479960367,0.5,0,0,0,0.000462673611111111,0
mpc,heavy_rain,23,26.4826791220084,0.71875,0,4.96249594204526,2,0.330190104166667,24
rule,heavy_rain,24,23.3384929894807,0.552083333333333,0,30.6367881930499,2,0.000530381944444444,0
mpc,heavy_rain,24,12.3221437488141,0.28125,0,13.8823859573413,1,0.369118489583333,0
rule,heavy_rain,25,3.84643961786726,0,0,0,0,0.000490885416666666,0
mpc,heavy_rain,25,5.7561099877161,0,0,7.11389346969533,1,0.357584201388889,0
rule,heavy_rain,26,10.753888315771,0.208333333333333,0,15.7310357828796,2,0.000602430555555556,0
mpc,heavy_rain,26,9.1749279181705,0.28125,0,17.0267533012256,1,0.361448350694444,0
rule,heavy_rain,27,11.9407886044256,0.125,0,12.2043799469472,2,0.000532552083333333,0
mpc,heavy_rain,27,9.65016430753927,0.0833333333333334,0,10.9232393513849,1,0.357317708333333,0
