scenario,seed,delta_waterLevelMAE,delta_bandViolationRate,delta_safetyViolationCount,delta_totalIrrigationMm,delta_switchCount,delta_meanDecisionTimeMs,delta_mpcFallbackCount
heavy_rain,4,-1.61932378129924,0,0,-1.08446294058151,-1,0.359422309027778,0
heavy_rain,5,3.47502714623499,0.0833333333333334,0,8.47497480910993,3,0.357353732638889,14
heavy_rain,6,0.832225160054178,0.0729166666666666,0,5.92752065655483,1,0.357912760416667,0
heavy_rain,7,1.05124904337117e-08,0,0,2.01292840325693e-08,1,0.371009548611111,0
heavy_rain,8,2.85944104622266,0.145833333333333,0,4.48574400122725,1,0.367501302083333,0
heavy_rain,9,1.22566305721239,0.03125,0,3.79203589055128,1,0.363109809027778,0
heavy_rain,10,6.25404972254273e-09,0,0,1.60951464606342e-08,1,0.367666666666667,0
heavy_rain,11,2.68558153493359e-09,0,0,7.62890212992279e-09,5,0.415406684027778,24
heavy_rain,12,4.75943906508292e-09,0,0,7.23350716832857e-09,1,0.407384548611111,0
heavy_rain,13,2.57710718484763,0,0,3.1800343354687,1,0.382658420138889,0
heavy_rain,14,4.27472457431577e-09,0,0,9.64017375658268e-09,3,0.365447048611111,12
heavy_rain,15,4.5578545382341e-09,0,0,1.04897853341597e-08,3,0.316338541666667,42
heavy_rain,16,3.51272078091824e-09,0,0,7.8388304069577e-09,1,0.37808203125,0
heavy_rain,17,1.48143186606831e-09,0,0,4.69384937254586e-09,3,0.359064670138889,27
heavy_rain,18,1.15231621054608,0,0,3.26528089858722,3,0.334719618055556,29
heavy_rain,19,-0.519893304638662,0,0,5.25248231078637,1,0.358943576388889,0
heavy_rain,20,-3.29242518104392,0,0,-4.75078946553758,-1,0.364333767361111,0
heavy_rain,21,-3.27301976626828,0,0,-3.30282076761539,-1,0.355778645833333,0
heavy_rain,22,1.79048157541192,0,0,3.35121168523569,1,0.383290364583333,0
heavy_rain,23,2.95563112597172,0.21875,0,4.96249594204526,2,0.329727430555556,24
heavy_rain,24,-11.0163492406666,-0.270833333333333,0,-16.7544022357085,-1,0.368588107638889,0
heavy_rain,25,1.90967036984884,0,0,7.11389346969533,1,0.357093315972222,0
heavy_rain,26,-1.57896039760053,0.0729166666666666,0,1.29571751834601,-1,0.360845920138889,0
heavy_rain,27,-2.2906242968863,-0.0416666666666666,0,-1.28114059556229,-1,0.35678515625,0
heavy_rain,28,6.98307367485995e-09,0,0,1.31435491820434e-08,1,0.361508246527778,0
heavy_rain,29,2.22427792316829,0.0729166666666667,0,4.83920686064755,1,0.365454861111111,0
heavy_rain,30,-2.54416106313526,0,0,0.518163856766696,-1,0.371306423611111,0
infiltration_shift,1,-4.42375575913347,0,0,11.9957696410803,-1,0.364828559027778,0
infiltration_shift,2,-5.61061803917266,0,0,12.2987571348894,-1,0.356703993055556,0
infiltration_shift,3,-4.45749206397204,0,0,10.9084106685635,-1,0.353280815972222,0
infiltration_shift,4,-3.41581847112202,0,0,6.78992062832793,-1,0.373291666666667,0
infiltration_shift,5,-5.04265122195146,0,0,12.2024674138586,-1,0.383228298611111,0
infiltration_shift,6,-2.84830242149762,0,0,5.58918940760055,-1,0.366440538194444,0
infiltration_shift,7,-3.71650174556788,0,0,6.34837140874855,-1,0.369005642361111,0
infiltration_shift,8,-4.11427653219308,0,0,8.72709626462463,-1,0.371344184027778,0
infiltration_shift,9,-3.56630561778359,0,0,11.8789831126724,-1,0.356571180555555,0
infiltration_shift,10,-3.52946322705332,0,0,8.01303297675502,-1,0.365404079861111,0
infiltration_shift,11,-4.34932647426445,0,0,8.22648800663507,-1,0.349821180555556,0
infiltration_shift,12,-3.17070036995686,0,0,10.1123935479664,-1,0.354575954861111,0
infiltration_shift,13,-4.01278264675533,0,0,11.2920588230965,-1,0.353104166666667,0
infiltration_shift,14,-3.4642784195275,0,0,10.636124158427,-1,0.356576822916667,0
infiltration_shift,15,-5.39901615577645,0,0,11.6004913126502,-2,0.353405815972222,0
infiltration_shift,16,-5.43422456105262,0,0,12.0749990490392,-1,0.3749375,0
infiltration_shift,17,-5.07945944051662,0,0,9.94070538956456,-1,0.360428385416667,0
infiltration_shift,18,-4.08501779652439,0,0,11.7851333019833,-1,0.358579861111111,0
infiltration_shift,19,-4.3972834711844,0,0,5.8459511408757,-1,0.359895833333333,0
infiltration_shift,20,-3.33762201456367,0,0,9.5308183211125,-1,0.358608940972222,0
infiltration_shift,21,-4.6789974225875,0,0,7.90721074408138,-1,0.361041666666667,0
infiltration_shift,22,-4.05078004548443,0,0,8.80969283057981,-1,0.367118923611111,0
infiltration_shift,23,-3.72859622545461,0,0,10.6265520234197,-1,0.376155381944445,0
infiltration_shift,24,-2.3609109592646,0,0,3.13201887719413,-1,0.370417534722222,0
infiltration_shift,25,-4.01435298689123,0,0,8.22205638647834,-1,0.363169270833333,0
infiltration_shift,26,-3.23664006170905,0,0,7.00816410827023,-1,0.360248263888889,0
infiltration_shift,27,-2.65903439995652,0,0,5.07220518254527,-1,0.349266493055556,0
infiltration_shift,28,-3.52852596670984,0,0,10.2029322525797,-1,0.363619357638889,0
