timeStep,waterLevel_Rule,waterLevel_MPC,action_Rule,action_MPC,rainfall,ET,actualInfiltration
23,37.2793483786959,39.9764722727713,4,0.685557032339424,0.17812518932425,0.592082942810123,0.290005416525954
24,40.7425381468786,40.0178278496494,4,1.30607897076486,0.177365832632615,0.5541391922375,0.289640820377301
25,43.9634579735754,40.5107495809274,4,0.882640799825056,0,0.565733570704775,0.263945066048232
26,46.9115682376424,40.4526584887993,4,0.709726528420826,0,0.589490252406168,0.319768702994904
27,49.9401992486249,40.3297382680704,0,0.437921641000407,0,0.50993880470304,0.292784944256463
28,49.2240450011829,40.0304124056856,0,0.898057907297997,0.140216228633781,0.533717287029953,0.322653189045818
29,48.3516308185155,40.0171455261257,0,1.85676197993296,0,0.564233815962538,0.308180366704869
30,47.4197674819456,40.9343541694829,0,1.07376276638117,0,0.615480907651697,0.316382428918156
31,46.6824404294319,41.229271978685,0,0.177332804236775,0.127084843418894,0.558018666893631,0.306393229038985
32,45.896650664604,40.6124410677983,0,0.190815238083286,0.00660093412882059,0.444090584158017,0.348300114798679
33,45.0587062936738,39.9701750803764,0,0.30423263375226,0.0451290213630776,0.585354029888226,0.297719362405063
34,44.2585166489254,39.4710190778535,0,0.968780206188466,0,0.497829321500144,0.302360323248291
35,43.4139534206806,39.6191589684663,0,1.25258515340035,0.0788409216227425,0.603410330464418,0.319993819403057
36,42.6798418821396,40.1316708825865,0,2.27805136699578,0.0928736046813314,0.534138322349987,0.292846820872401
37,41.7569585728774,41.4754684448975,0,0.839838379586609,0,0.623983833813824,0.298899475448307
38,41.0468951044202,41.6034018009842,0,2.39290023658798e-10,0.179720058425494,0.584954399437905,0.304829127444867
39,40.3027134024605,40.8592200992632,0,1.43010051876326e-09,0.0590696551205452,0.557954963905115,0.245296393175055
40,39.4961171463659,40.0526238446421,0,2.88200427427547e-10,0,0.502725974577658,0.30387028151695
41,38.7490100445746,39.3055167431361,0,1.35514524245971,0.0603346612845761,0.510349674595947,0.297092088480009
42,37.9723804796987,39.9388732732079,0,1.73617851275742,0,0.447538050356394,0.329091514519426
43,37.2482560201554,40.8705528602959,0,0.788682744022706,0,0.432058247152906,0.292066212390462
44,36.507853654992,40.9404332359686,0,8.47880931895091e-10,0.061212237077216,0.467036537252209,0.334578064988418
45,35.7007219926358,40.1333015744286,0,0.184895861070729,0,0.502093811862121,0.305037850494044
46,34.8518065649283,39.4714732745921,0,0.544411919343918,0,0.561286493314357,0.287628934393155
47,33.971396723854,39.1088189996351,0,0.994901646550648,0,0.56088326756355,0.319526573510771
48,33.1599388758092,39.2961058328447,0,1.37292089571964,0,0.508838035774882,0.302619812269882
49,32.4604860611664,39.9013422107061,0,1.73246963607714,0.0926216394168962,0.499361598282692,0.292712855776978
50,31.5515894098764,40.8030831488281,0,0.9592113088037,0,0.610762895775541,0.298133755514459
51,30.683979511415,40.9335711807044,0,0.0330519766883467,0,0.557813768767084,0.30979612969431
52,29.8259637507936,40.1095856260178,0,0.0904886583448869,0,0.529987134391758,0.32802862622974
53,29.0035371694916,39.3814054646661,0,0.425198873020421,0,0.527911046162867,0.294515535139054
54,28.1435057217733,38.931502065902,0,2.18419809404149,0.0258899957160403,0.57240511373938,0.313516329694972
55,27.3729236461763,40.2703595514428,0,1.22699877353671,0,0.466770459996771,0.303811615600297
56,26.5187458967797,40.6048530201589,0,0.590005910225785,0.0199740262298379,0.560744512076108,0.313407263550272
57,25.6796870325756,40.3630273968141,0,0.771267853008411,0.0425864319131209,0.577478156668449,0.304167139448776
58,24.7535126465061,40.2394196456247,0,1.00397947129811,0,0.619616892678253,0.306557493391256
59,23.9509379732173,40.4900149377269,4,0.609061612831073,0,0.519038618529249,0.283536054759548
60,27.2388096706032,40.3153579229615,4,0.853239904752866,0.0594307616829848,0.549369935833634,0.306638111969829
61,30.4359709370821,40.2928170664383,4,0.438375632597377,0,0.588680619523666,0.306878277654305
62,33.6606326564387,39.8100795533205,4,0.920958718205419,0,0.631460603015243,0.307594959445849
63,36.8237751962869,39.9247021983881,4,0.992184923730311,0.00407308117494288,0.479501248289345,0.321778785985839
64,39.9694794329848,40.1378316483501,4,0.418644254939253,0.028297017716199,0.462635869862377,0.319897183245967
65,43.0146477402943,39.7186004840003,4,1.37828541461055,0.00635612193024994,0.526387692826067,0.304172190109555
66,46.0667617347082,40.2487673931755,4,1.64155420953959,0.0433430065111595,0.546995587925179,0.292016244305578
67,49.3520278578862,41.1018602133531,0,0.283866584364833,0.0422860364487685,0.571943928529576,0.310120219954311
68,48.6244748463932,40.648147401972,0,4.74641632948395e-09,0.1299528296552,0.560061110346209,0.297444730801941
69,47.8087381818083,39.8324107420216,0,1.24402416079163e-12,0,0.52083508116815,0.294901583416808
70,46.9220592142417,38.9457317744563,0,1.06053646590694,0,0.58823983453372,0.298439133032847
71,46.1529180183019,39.2170391317655,0,1.8162303101502,0.0816043081031918,0.557038490781313,0.293707013261716
72,45.3277332310908,40.2957027740597,0,2.1603248140638,0,0.531353155255181,0.293831631955898
73,44.4644345200189,41.5423152568132,0,1.13627815156879,0,0.555273346585956,0.308025364485949
74,43.6646750056367,41.8826578500616,0,0.362834068105083,0.111183287253465,0.613531215071721,0.297411586563931
75,42.763164844642,41.3372499882621,0,1.16155189734093e-10,0,0.574956496358199,0.326553664636519
76,42.0094734124047,40.5835585561457,0,1.84278778738586e-13,0.0898730486034072,0.530148750699173,0.313415730141543
77,41.3005276858971,39.8746128296383,0,0.876329131540868,0.0377215659958544,0.460501590309667,0.286165702193698
78,40.6100959358619,40.0546907133272,0,1.23060713307715,0.14523916455879,0.536655283407257,0.299015631186724
