Episode,EpisodeReward,EpisodeSteps,AverageReward,GlobalStepCount
319,-65.3632419211539,96,-76.8641188678882,30624
320,-8.6775879513362,96,-77.6145081632447,30720
321,-21.1342517150802,96,-79.1932756601827,30816
322,-2.99072141087337,96,-55.9108228679543,30912
323,-1.3490225443701,96,-27.8455866921849,31008
324,-113.357452947105,96,-38.8982535202447,31104
325,-162.383233683187,96,-53.931772012052,31200
326,-0.758184254121363,96,-53.9032879047957,31296
327,-14.5556206331665,96,-55.0251705820144,31392
328,-0.921923606247804,96,-39.1491240666641,31488
329,-1.35387307023197,96,-32.7481871815719,31584
330,-102.283202000621,96,-42.1087485865004,31680
331,-173.78845321226,96,-57.3741687362185,31776
332,-2.69406012247722,96,-57.3445026073789,31872
333,-14.0852209157145,96,-58.6181224445133,31968
334,-0.930270064805731,96,-47.3754041562834,32064
335,-3.29692052150313,96,-31.466772840115,32160
336,-202.201203183368,96,-51.6110747330397,32256
337,-187.222600809002,96,-68.8777727506232,32352
338,-1.42243376129359,96,-68.9278237661277,32448
339,-11.1420215572644,96,-69.906638614831,32544
340,-0.858508075350748,96,-59.7641692223039,32640
341,-3.29220845391121,96,-42.714544746469,32736
342,-65.2303758102127,96,-48.9681763152426,32832
343,-224.906959431819,96,-70.0503501668531,32928
344,-2.24837853967083,96,-70.1821610143396,33024
345,-13.7089530763739,96,-71.2233642698266,33120
346,-1.97220710882947,96,-51.2004646623728,33216
347,-2.31208240899468,96,-32.7094128223721,33312
348,-274.459251622814,96,-60.0130946085241,33408
349,-154.844205366992,96,-74.3833129894969,33504
350,-2.40504496894749,96,-74.5379666788565,33600
351,-11.4591862526834,96,-75.3546644587338,33696
352,-1.0105166359689,96,-68.9326785413094,33792
353,-1.2128068491657,96,-46.563263283044,33888
354,-117.94174000817,96,-58.1325994298939,33984
355,-56.0434723005036,96,-62.3660513523069,34080
356,-4.86083360639283,96,-62.6549140020632,34176
357,-17.7481404094452,96,-64.1985198021083,34272
358,-0.814046849622885,96,-36.8339993247891,34368
359,-1.51228489046818,96,-21.5008072771368,34464
360,-107.017248532662,96,-31.9620276335083,34560
361,-99.7134889385078,96,-40.7874579020907,34656
